,행정동,구,공원개수,공원개수_w,문화시설개수,문화시설개수_w,한강공원개수,한강공원개수_w,체육시설개수,체육시설개수_w,보행자도로개수,보행자도로개수_w,초중고,초중고_w,관광명소개수,관광명소개수_w,지하철개수,지하철개수_w,호텔개수,호텔개수_w,대학교개수,대학교개수_w,총합,가중치총합
100,대조동,은평구,,0,2,0.000337224,,0,,0,2,0.000639269,3,0.000023041,,0,1,0.000134228,,0,,0,8,0.001133763
101,대치1동,강남구,,0,1,0.000168612,,0,,0,,0,4,0.000030722,,0,,0,,0,,0,5,0.000199334
102,대치2동,강남구,,0,10,0.001686122,,0,,0,,0,3,0.000023041,,0,3,0.000402685,1,0.00003876,,0,17,0.002150608
103,대치4동,강남구,,0,2,0.000337224,,0,,0,,0,1,0.00000768,,0,,0,2,0.000077519,,0,5,0.000422424
104,대학동,관악구,,0,5,0.000843061,,0,,0,,0,6,0.000046083,1,0.001162791,,0,,0,1,0.000172414,13,0.002224348
105,대흥동,마포구,,0,6,0.001011673,,0,,0,,0,5,0.000038402,,0,3,0.000402685,,0,1,0.000172414,15,0.001625174
106,도봉2동,도봉구,,0,3,0.000505837,,0,,0,,0,3,0.000023041,,0,2,0.000268456,,0,,0,8,0.000797334
107,독산1동,금천구,,0,3,0.000505837,,0,1,0.001041667,2,0.000639269,6,0.000046083,,0,,0,1,0.00003876,,0,13,0.002271615
108,독산3동,금천구,,0,2,0.000337224,,0,,0,,0,4,0.000030722,,0,,0,,0,,0,6,0.000367946
109,독산4동,금천구,,0,2,0.000337224,,0,,0,2,0.000639269,1,0.00000768,,0,,0,1,0.00003876,,0,6,0.001022934
110,돈암2동,성북구,,0,2,0.000337224,,0,,0,,0,2,0.000015361,,0,,0,,0,,0,4,0.000352585
111,동화동,중구,,0,1,0.000168612,,0,,0,,0,1,0.00000768,,0,1,0.000134228,,0,,0,3,0.000310521
112,등촌2동,강서구,,0,3,0.000505837,,0,,0,,0,6,0.000046083,,0,,0,1,0.00003876,,0,10,0.000590679
113,등촌3동,강서구,,0,1,0.000168612,,0,,0,,0,10,0.000076805,,0,1,0.000134228,1,0.00003876,,0,13,0.000418405
114,마장동,성동구,,0,1,0.000168612,,0,,0,,0,4,0.000030722,,0,1,0.000134228,,0,,0,6,0.000333562
115,망우본동,중랑구,,0,1,0.000168612,,0,1,0.001041667,,0,13,0.000099846,,0,2,0.000268456,,0,,0,17,0.001578582
116,면목4동,중랑구,,0,2,0.000337224,,0,1,0.001041667,,0,2,0.000015361,,0,1,0.000134228,,0,,0,6,0.00152848
117,면목7동,중랑구,,0,1,0.000168612,,0,,0,,0,1,0.00000768,,0,,0,,0,,0,2,0.000176293
118,면목본동,중랑구,,0,1,0.000168612,,0,,0,,0,2,0.000015361,1,0.001162791,1,0.000134228,,0,,0,5,0.001480992
119,명동,중구,,0,21,0.003540856,,0,,0,12,0.003835616,2,0.000015361,2,0.002325581,2,0.000268456,18,0.000697674,,0,57,0.010683546
120,목1동,양천구,,0,5,0.000843061,,0,5,0.005208333,2,0.000639269,3,0.000023041,,0,2,0.000268456,,0,,0,17,0.006982162
121,목5동,양천구,,0,1,0.000168612,,0,,0,2,0.000639269,7,0.000053763,,0,1,0.000134228,,0,,0,11,0.000995873
122,묵1동,중랑구,,0,2,0.000337224,,0,,0,,0,5,0.000038402,,0,1,0.000134228,,0,,0,8,0.000509855
123,문래동,영등포구,,0,5,0.000843061,,0,,0,8,0.002557078,5,0.000038402,1,0.001162791,1,0.000134228,,0,,0,20,0.00473556
124,미성동,관악구,,0,2,0.000337224,,0,,0,,0,8,0.000061444,,0,,0,,0,,0,10,0.000398668
125,반포1동,서초구,,0,3,0.000505837,,0,,0,,0,1,0.00000768,,0,2,0.000268456,,0,,0,6,0.000781973
126,반포2동,서초구,,0,3,0.000505837,12,0.055045872,2,0.002083333,,0,2,0.000015361,1,0.001162791,1,0.000134228,,0,,0,21,0.058947421
127,반포4동,서초구,,0,1,0.000168612,,0,,0,,0,14,0.000107527,,0,1,0.000134228,2,0.000077519,1,0.000172414,19,0.0006603
128,방이2동,송파구,,0,1,0.000168612,,0,,0,,0,1,0.00000768,,0,1,0.000134228,1,0.00003876,,0,4,0.000349281
129,번3동,강북구,,0,2,0.000337224,,0,,0,,0,2,0.000015361,1,0.001162791,,0,,0,,0,5,0.001515376
130,보광동,용산구,,0,1,0.000168612,,0,,0,,0,2,0.000015361,,0,,0,,0,,0,3,0.000183973
131,부암동,종로구,,0,6,0.001011673,,0,,0,,0,4,0.000030722,3,0.003488372,,0,,0,1,0.000172414,14,0.004703181
132,사근동,성동구,,0,1,0.000168612,,0,,0,,0,5,0.000038402,,0,2,0.000268456,,0,2,0.000344828,10,0.000820299
133,사당5동,동작구,,0,1,0.000168612,,0,,0,1,0.000319635,4,0.000030722,,0,,0,,0,,0,6,0.000518969
134,삼성1동,강남구,,0,6,0.001011673,,0,,0,,0,3,0.000023041,2,0.002325581,2,0.000268456,3,0.000116279,,0,16,0.003745031
135,삼성2동,강남구,,0,3,0.000505837,,0,,0,,0,1,0.00000768,1,0.001162791,1,0.000134228,4,0.000155039,,0,10,0.001965575
