,행정동,구,공원개수,문화시설개수,한강공원개수,체육시설개수,관광명소개수,초중고,관광명소개수,대학교개수,지하철개수,호텔개수,총합
363,신내1동,중랑구,,,,,,2,,,,,2
364,신당5동,중구,,,,,,3,,,,,3
365,신대방2동,동작구,,,,,,4,1,,,,5
367,신수동,마포구,,,,,,4,,,,,4
368,신원동,관악구,,,,,,1,,,,,1
369,신월2동,양천구,,,,,,4,,,,,4
370,신월4동,양천구,,,,,,1,,,,,1
371,신월6동,양천구,,,,,,2,,,,,2
372,신정1동,양천구,,,,,,3,,,,,3
373,신정2동,양천구,,,,,,3,,,,,3
374,쌍문2동,도봉구,,,,,,2,,,,,2
375,쌍문3동,도봉구,,,,,,1,,,1,1,3
376,암사3동,강동구,,,,,,2,,,,,2
377,양평1동,영등포구,,,,,,2,,,1,4,7
378,연남동,마포구,,,,,,3,,,,,3
380,염리동,마포구,,,,,,5,,,,,5
382,영등포동,영등포구,,,,,,1,1,,1,5,8
383,옥수동,성동구,,,,,,4,,,1,,5
384,왕십리2동,성동구,,,,,,1,,,1,,2
385,왕십리도선동,성동구,,,,,,2,,,,3,5
386,월계3동,노원구,,,,,,4,,,,,4
387,위례동,송파구,,,,,,2,,,,,2
388,은천동,관악구,,,,,,2,,,1,,3
389,응봉동,성동구,,,,,,2,,,1,,3
390,응암2동,은평구,,,,,,1,,,,,1
391,일원1동,강남구,,,,,,3,,,,,3
392,잠실7동,송파구,,,,,,4,,,1,,5
393,장안2동,동대문구,,,,,,3,,,,2,5
394,장위1동,성북구,,,,,,2,,,,,2
395,장위2동,성북구,,,,,,1,,,1,,2
396,장위3동,성북구,,,,,,3,,,,,3
397,정릉2동,성북구,,,,,,2,,,,,2
398,정릉4동,성북구,,,,,,2,,1,1,,4
399,중앙동,관악구,,,,,,1,,,,,1
400,중화1동,중랑구,,,,,,5,,,1,,6
401,창2동,도봉구,,,,,,1,,,,,1
402,창3동,도봉구,,,,,,2,,,,,2
403,창신3동,종로구,,,,,,2,,,1,,3
405,청룡동,관악구,,,,,,9,,,,,9
407,풍납2동,송파구,,,,,,6,,,,,6
409,하계1동,노원구,,,,,,8,,1,1,,10
410,하계2동,노원구,,,,,,3,,,,,3
411,행당2동,성동구,,,,,,3,,,1,,4
412,홍은1동,서대문구,,,,,,1,,,,,1
413,홍제1동,서대문구,,,,,,2,,1,,,3
414,홍제3동,서대문구,,,,,,3,,,1,,4
415,화곡1동,강서구,,,,,,3,,,2,7,12
416,화곡2동,강서구,,,,,,1,,,,,1
417,화곡4동,강서구,,,,,,4,,,,,4
419,휘경2동,동대문구,,,,,,7,,1,,,8
424,방배1동,서초구,,,,,,,,,1,,1
426,사당4동,동작구,,,,,,,,,1,,1
427,성내2동,강동구,,,,,,,,,2,1,3
428,성수1가2동,성동구,,,,,,,,,1,,1
429,수유2동,강북구,,,,,,,,,1,1,2
430,신포동,중구,,,,,,,,,1,,1
434,영종동,중구,,,,,,,,,1,,1
437,운서동,중구,,,,,,,,,1,,1
440,중화2동,중랑구,,,,,,,,,1,,1
441,홍제2동,서대문구,,,,,,,,,1,,1
442,휘경1동,동대문구,,,,,,,,,1,1,2
