,지역,학교명,위도,경도,구
877,서울특별시 광진구,광남중학교,37.54083184,127.101646,광진구
878,서울특별시 광진구,광양중학교,37.530351,127.08576699999999,광진구
879,서울특별시 광진구,광장중학교,37.54717824,127.10192620000001,광진구
880,서울특별시 광진구,광진중학교,37.5322204,127.0901621,광진구
881,서울특별시 성동구,광희중학교,37.551111999999996,127.03381599999999,성동구
882,서울특별시 광진구,구의중학교,37.54284949,127.07884140000002,광진구
883,서울특별시 광진구,대원국제중학교,37.563827,127.089441,광진구
884,서울특별시 성동구,동마중학교,37.5628026,127.0403525,성동구
885,서울특별시 광진구,동국대학교사범대학부속여자중학교,37.542281,127.086583,광진구
886,서울특별시 성동구,무학중학교,37.55770191,127.03199280000001,성동구
887,서울특별시 성동구,성수중학교,37.547095,127.03898000000001,성동구
888,서울특별시 성동구,성원중학교,37.53945164,127.05138329999998,성동구
889,서울특별시 광진구,신양중학교,37.53365056,127.06342649999999,광진구
890,서울특별시 성동구,옥정중학교,37.54167136,127.0129854,성동구
891,서울특별시 광진구,용곡중학교,37.56595099,127.08908899999999,광진구
892,서울특별시 광진구,자양중학교,37.53539931,127.0743848,광진구
893,서울특별시 성동구,한양대학교사범대학부속중학교,37.561657000000004,127.043153,성동구
894,서울특별시 성동구,행당중학교,37.55459574,127.04200490000001,성동구
895,서울특별시 강북구,강북중학교,37.64491581,127.02537209999998,강북구
896,서울특별시 성북구,고려대학교사범대학부속중학교,37.610369,127.001088,성북구
897,서울특별시 성북구,고명중학교,37.59767639,127.0191869,성북구
898,서울특별시 성북구,남대문중학교,37.618636200000005,127.05579180000001,성북구
899,서울특별시 성북구,동구여자중학교,37.594083000000005,127.00768799999999,성북구
900,서울특별시 강북구,번동중학교,37.632574,127.03654399999999,강북구
901,서울특별시 성북구,북악중학교,37.606922999999995,127.001691,성북구
902,서울특별시 성북구,삼선중학교,37.59174917,127.0078716,성북구
903,서울특별시 강북구,서라벌중학교,37.6566848,127.01070320000001,강북구
904,서울특별시 성북구,석관중학교,37.6,127.0,성북구
905,서울특별시 성북구,성신여자중학교,37.5936742,127.02337879999999,성북구
906,서울특별시 강북구,성암여자중학교,37.6204129,127.0239049,강북구
907,서울특별시 강북구,수송중학교,37.63680119,127.0339165,강북구
908,서울특별시 강북구,수유중학교,37.63156547,127.01048600000001,강북구
909,서울특별시 강북구,신일중학교,37.62796578,127.0284024,강북구
910,서울특별시 강북구,영훈국제중학교,37.614308,127.02739,강북구
911,서울특별시 성북구,용문중학교,37.58872,127.024353,성북구
912,서울특별시 성북구,월곡중학교,37.60698072,127.0482587,성북구
913,서울특별시 강북구,인수중학교,37.64386577,127.00992120000001,강북구
914,서울특별시 성북구,장위중학교,37.61129386,127.04084080000001,성북구
915,서울특별시 성북구,종암중학교,37.593111,127.0319898,성북구
916,서울특별시 강북구,창문여자중학교,37.613222,127.03661299999999,강북구
917,서울특별시 성북구,한성여자중학교,37.58200014,127.01131229999999,성북구
918,서울특별시 성북구,홍익대학교사범대학부속중학교,37.59366671,127.00280359999998,성북구
