행정동,구,공원개수,공원개수_w,문화시설개수,문화시설개수_w,한강공원개수,한강공원개수_w,체육시설개수,체육시설개수_w,보행자도로개수,보행자도로개수_w,초중고,초중고_w,관광명소개수,관광명소개수_w,지하철개수,지하철개수_w,호텔개수,호텔개수_w,대학교개수,대학교개수_w,총합,가중치총합,인구수비율,SCORE,랭크
청량리동,동대문구,2,0.00084507,2,0.000337224,,0,,0,,0,3,0.000023041,2,0.002325581,,0,1,0.00003876,,0,10,0.003569676,0.001964776,0.007740512,61
문정2동,송파구,,0,,0,,0,,0,2,0.000639269,1,0.00000768,1,0.001162791,3,0.00040678,,0,,0,7,0.00221652,0.004136818,0.007723147,62
홍은2동,서대문구,2,0.00084507,2,0.000337224,,0,1,0.001041667,2,0.000639269,5,0.000038402,,0,,0,1,0.00003876,1,0.000172414,14,0.003112806,0.00260636,0.00764288,63
광장동,광진구,,0,5,0.000843061,,0,,0,,0,7,0.000053763,1,0.001162791,1,0.000135593,2,0.000077519,1,0.000172414,17,0.002445141,0.003668797,0.007625035,64
신정3동,양천구,2,0.00084507,1,0.000168612,,0,,0,4,0.001278539,8,0.000061444,,0,1,0.000135593,,0,,0,16,0.002489258,0.003484702,0.007512321,65
필동,중구,,0,11,0.001854734,,0,,0,,0,3,0.000023041,1,0.001162791,1,0.000135593,6,0.000232558,1,0.000172414,23,0.003581131,0.001644671,0.007438941,66
대학동,관악구,,0,5,0.000843061,,0,,0,,0,6,0.000046083,1,0.001162791,,0,,0,1,0.000172414,13,0.002224349,0.003765423,0.00736442,67
오륜동,송파구,,0,10,0.001686122,,0,,0,,0,7,0.000053763,1,0.001162791,1,0.000135593,,0,1,0.000172414,20,0.003210683,0.002050778,0.007245663,68
영등포동,영등포구,,0,,0,,0,,0,,0,1,0.00000768,1,0.001162791,1,0.000135593,5,0.000193798,,0,8,0.001499862,0.004771808,0.007198585,69
서초2동,서초구,,0,3,0.000505837,,0,1,0.001041667,,0,2,0.000015361,,0,1,0.000135593,,0,,0,7,0.001698458,0.004307266,0.007055371,70
양재1동,서초구,1,0.000422535,5,0.000843061,,0,,0,,0,5,0.000038402,,0,1,0.000135593,,0,,0,12,0.001439591,0.004699635,0.007028893,71
녹번동,은평구,1,0.000422535,6,0.001011673,,0,,0,2,0.000639269,2,0.000015361,,0,2,0.000271186,1,0.00003876,,0,14,0.002398784,0.003013383,0.006894616,72
삼성2동,강남구,,0,3,0.000505837,,0,,0,,0,1,0.00000768,1,0.001162791,1,0.000135593,4,0.000155039,,0,10,0.00196694,0.003695541,0.00687805,73
천연동,서대문구,1,0.000422535,2,0.000337224,,0,,0,,0,3,0.000023041,2,0.002325581,,0,,0,,0,8,0.003108381,0.001774911,0.006804271,74
구로3동,구로구,,0,1,0.000168612,,0,,0,3,0.000958904,3,0.000023041,,0,2,0.000271186,2,0.000077519,,0,11,0.001499262,0.00425735,0.006683156,75
성산2동,마포구,,0,2,0.000337224,,0,,0,,0,5,0.000038402,1,0.001162791,2,0.000271186,,0,,0,10,0.001809603,0.003740511,0.006668449,76
용산2가동,용산구,1,0.000422535,3,0.000505837,,0,,0,,0,4,0.000030722,2,0.002325581,1,0.000135593,,0,,0,11,0.003420268,0.001098615,0.006632609,77
용신동,동대문구,,0,6,0.001011673,,0,,0,,0,3,0.000023041,,0,3,0.00040678,3,0.000116279,,0,15,0.001557773,0.004109891,0.006630368,78
독산1동,금천구,,0,3,0.000505837,,0,1,0.001041667,2,0.000639269,6,0.000046083,,0,,0,1,0.00003876,,0,13,0.002271616,0.002944508,0.006619983,79
가산동,금천구,,0,2,0.000337224,,0,,0,,0,,0,,0,2,0.000271186,1,0.00003876,,0,5,0.00064717,0.005570559,0.00661768,80
신림동,관악구,,0,1,0.000168612,,0,,0,2,0.000639269,,0,1,0.001162791,1,0.000135593,2,0.000077519,,0,7,0.002183784,0.003075297,0.00660866,81
공릉1동,노원구,,0,1,0.000168612,,0,,0,,0,3,0.000023041,1,0.001162791,2,0.000271186,,0,,0,7,0.00162563,0.003973057,0.006603326,82
서초4동,서초구,,0,1,0.000168612,,0,,0,4,0.001278539,3,0.000023041,,0,,0,,0,,0,8,0.001470192,0.004160265,0.006539036,83
이태원1동,용산구,,0,3,0.000505837,,0,,0,,0,1,0.00000768,2,0.002325581,1,0.000135593,4,0.000155039,,0,11,0.00312973,0.001425681,0.006489584,84
압구정동,강남구,,0,6,0.001011673,,0,,0,,0,5,0.000038402,,0,1,0.000135593,2,0.000077519,,0,14,0.001263187,0.004441628,0.006485465,85
구로5동,구로구,,0,6,0.001011673,,0,,0,2,0.000639269,4,0.000030722,,0,1,0.000135593,,0,,0,13,0.001817257,0.003495693,0.006436015,86
남영동,용산구,,0,7,0.001180285,,0,,0,,0,,0,1,0.001162791,2,0.000271186,3,0.000116279,,0,13,0.002730541,0.001983735,0.00640175,87
논현2동,강남구,,0,4,0.000674449,,0,,0,,0,2,0.000015361,,0,3,0.00040678,2,0.000077519,1,0.000172414,12,0.001346523,0.004120332,0.006299006,88
구의1동,광진구,,0,,0,,0,,0,8,0.002557078,2,0.000015361,,0,,0,,0,,0,10,0.002572439,0.00212634,0.006288546,89
청파동,용산구,,0,13,0.002191958,,0,,0,,0,7,0.000053763,,0,,0,,0,1,0.000172414,21,0.002418135,0.002348352,0.006260894,90
광희동,중구,,0,5,0.000843061,,0,,0,,0,2,0.000015361,1,0.001162791,1,0.000135593,8,0.000310078,,0,17,0.002466884,0.002209136,0.006200554,91
흑석동,동작구,1,0.000422535,1,0.000168612,,0,,0,2,0.000639269,4,0.000030722,,0,1,0.000135593,,0,2,0.000344828,11,0.001741559,0.003373421,0.006191263,92
논현1동,강남구,,0,2,0.000337224,,0,,0,1,0.000319635,,0,,0,2,0.000271186,7,0.000271318,,0,12,0.001199363,0.004243429,0.006183998,93
